================================================================================
TOKEN-TO-ID MAPPINGS
================================================================================
Vocabulary size: 1104

ID         Token                                              Frequency      
828        xmm26                                              17
829        pabsb                                              16
830        pminud                                             16
831        vcvtps2pd                                          16
832        vpmaskmovd                                         16
833        vrcpps                                             16
834        fsubp                                              15
835        jpt_13C463                                         15
836        jpt_207264                                         15
837        movntq                                             15
838        pavgusb                                            15
839        rcpss                                              15
840        rsqrtps                                            15
841        vpmovsxwd                                          15
842        vptest                                             15
843        xmm24                                              15
844        btr                                                14
845        cld                                                14
846        cmpneqss                                           14
847        fdivrp                                             14
848        fld1                                               14
849        jpt_3371                                           14
850        pmovzxwd                                           14
851        vpermilpd                                          14
852        vpsignd                                            14
853        comisd                                             13
854        jpt_203A4C                                         13
855        keyboard_mode                                      13
856        pextrb                                             13
857        pmovsxbw                                           13
858        ptest                                              13
859        vpermi2q                                           13
860        vpmovsxbq                                          13
861        7                                                  12
862        btc                                                12
863        confine_to                                         12
864        fcmovbe                                            12
865        fore_red                                           12
866        pmovzxbd                                           12
867        vcmpneqps                                          12
868        vextractf128                                       12
869        vmovntdq                                           12
870        vpmacsww                                           12
871        xmm23                                              12
872        xmm28                                              12
873        buf                                                11
874        dir                                                11
875        jpt_2044C6                                         11
876        jpt_330F                                           11
877        packusdw                                           11
878        pmovzxbw                                           11
879        request                                            11
880        sig                                                11
881        vplzcntd                                           11
882        vpmaxud                                            11
883        aesimc                                             10
884        clc                                                10
885        cmovnp                                             10
886        jpt_21C8                                           10
887        jpt_43A5                                           10
888        jpt_5EA4                                           10
889        mutex                                              10
890        pmovsxwd                                           10
891        rcr                                                10
892        vpermpd                                            10
893        vunpckhps                                          10
894        xgetbv                                             10
895        arg                                                9
896        bzhi                                               9
897        cmpeqss                                            9
898        cmpordps                                           9
899        jpt_206C18                                         9
900        ldmxcsr                                            9
901        psignd                                             9
902        setno                                              9
903        size                                               9
904        vextracti64x4                                      9
905        vfnmadd231pd                                       9
906        vpandnd                                            9
907        vpermt2q                                           9
908        vpmaxsb                                            9
909        vpmovsxbd                                          9
910        vpscatterdq                                        9
911        cmpnltsd                                           8
912        codeset                                            8
913        insertps                                           8
914        pinsrq                                             8
915        rsqrtss                                            8
916        ud1                                                8
917        vpcmpuw                                            8
918        vpermi2b                                           8
919        vpermps                                            8
920        vpermt2b                                           8
921        blendps                                            7
922        funcs_3115                                         7
923        funcs_4866                                         7
924        jpt_2077BD                                         7
925        jpt_208D86                                         7
926        nptr                                               7
927        pminuw                                             7
928        pushfq                                             7
929        vmovdqu16                                          7
930        vphsubw                                            7
931        vpmovb2m                                           7
